model,target,n_train,n_test,accuracy,precision,recall,f1_score,roc_auc,classification_report_path,confusion_matrix_path,model_path
logistic_regression,susceptibility_class,60,20,0.95,0.9571428571428571,0.95,0.9496503496503497,,outputs/ml/classification_report_logistic_regression_susceptibility_class.txt,outputs/ml/confusion_matrix_logistic_regression_susceptibility_class.png,outputs/ml/model_logistic_regression_susceptibility_class.joblib
decision_tree,susceptibility_class,60,20,1.0,1.0,1.0,1.0,,outputs/ml/classification_report_decision_tree_susceptibility_class.txt,outputs/ml/confusion_matrix_decision_tree_susceptibility_class.png,outputs/ml/model_decision_tree_susceptibility_class.joblib
random_forest,susceptibility_class,60,20,1.0,1.0,1.0,1.0,,outputs/ml/classification_report_random_forest_susceptibility_class.txt,outputs/ml/confusion_matrix_random_forest_susceptibility_class.png,outputs/ml/model_random_forest_susceptibility_class.joblib
gradient_boosting,susceptibility_class,60,20,1.0,1.0,1.0,1.0,,outputs/ml/classification_report_gradient_boosting_susceptibility_class.txt,outputs/ml/confusion_matrix_gradient_boosting_susceptibility_class.png,outputs/ml/model_gradient_boosting_susceptibility_class.joblib
